table_name,column_name,data_type,is_nullable,column_default
business_assets,id,text,NO,
business_assets,name,text,NO,
business_assets,facebook_page_id,text,NO,
business_assets,app_users_instagram_account_id,text,NO,
business_assets,facebook_page_access_token_encrypted,text,NO,
business_assets,instagram_page_access_token_encrypted,text,NO,
business_assets,is_active,boolean,NO,true
business_assets,created_at,timestamp with time zone,NO,now()
business_assets,updated_at,timestamp with time zone,NO,now()
business_assets,target_audience,text,NO,
completed_posts,id,uuid,NO,uuid_generate_v4()
completed_posts,task_id,uuid,NO,
completed_posts,platform,USER-DEFINED,NO,
completed_posts,post_type,USER-DEFINED,NO,
completed_posts,text,text,NO,
completed_posts,location,text,YES,
completed_posts,music,text,YES,
completed_posts,hashtags,ARRAY,YES,ARRAY[]::text[]
completed_posts,status,USER-DEFINED,YES,'pending'::post_status
completed_posts,published_at,timestamp with time zone,YES,
completed_posts,platform_post_id,text,YES,
completed_posts,platform_post_url,text,YES,
completed_posts,error_message,text,YES,
completed_posts,created_at,timestamp with time zone,YES,now()
completed_posts,media_ids,ARRAY,YES,ARRAY[]::uuid[]
completed_posts,scheduled_posting_time,timestamp with time zone,YES,
completed_posts,news_event_seed_id,uuid,YES,
completed_posts,trend_seed_id,uuid,YES,
completed_posts,ungrounded_seed_id,uuid,YES,
completed_posts,business_asset_id,text,NO,
completed_posts,verification_status,USER-DEFINED,NO,'unverified'::verification_status
completed_posts,verification_group_id,uuid,YES,
completed_posts,is_verification_primary,boolean,NO,true
completed_posts,platform_video_id,text,YES,
content_creation_tasks,id,uuid,NO,uuid_generate_v4()
content_creation_tasks,instagram_image_posts,integer,YES,
content_creation_tasks,instagram_reel_posts,integer,YES,
content_creation_tasks,facebook_feed_posts,integer,YES,
content_creation_tasks,facebook_video_posts,integer,YES,
content_creation_tasks,image_budget,integer,YES,0
content_creation_tasks,video_budget,integer,YES,0
content_creation_tasks,status,USER-DEFINED,YES,'pending'::task_status
content_creation_tasks,error_message,text,YES,
content_creation_tasks,created_at,timestamp with time zone,YES,now()
content_creation_tasks,started_at,timestamp with time zone,YES,
content_creation_tasks,completed_at,timestamp with time zone,YES,
content_creation_tasks,business_asset_id,text,NO,
content_creation_tasks,news_event_seed_id,uuid,YES,
content_creation_tasks,trend_seed_id,uuid,YES,
content_creation_tasks,ungrounded_seed_id,uuid,YES,
content_creation_tasks,image_posts,integer,YES,0
content_creation_tasks,video_posts,integer,YES,0
content_creation_tasks,text_only_posts,integer,YES,0
content_creation_tasks,scheduled_times,jsonb,YES,'[]'::jsonb
content_creation_tasks,carousel_posts,integer,YES,0
facebook_page_insights,id,uuid,NO,uuid_generate_v4()
facebook_page_insights,business_asset_id,text,NO,
facebook_page_insights,page_id,text,NO,
facebook_page_insights,page_name,text,YES,
facebook_page_insights,page_picture_url,text,YES,
facebook_page_insights,page_views_total,integer,YES,0
facebook_page_insights,page_views_total_week,integer,YES,0
facebook_page_insights,page_views_total_days_28,integer,YES,0
facebook_page_insights,page_total_actions,integer,YES,0
facebook_page_insights,page_total_actions_days_28,integer,YES,0
facebook_page_insights,page_post_engagements,integer,YES,0
facebook_page_insights,page_post_engagements_week,integer,YES,0
facebook_page_insights,page_post_engagements_days_28,integer,YES,0
facebook_page_insights,page_follows,integer,YES,0
facebook_page_insights,page_media_view,integer,YES,0
facebook_page_insights,page_media_view_week,integer,YES,0
facebook_page_insights,page_media_view_days_28,integer,YES,0
facebook_page_insights,page_media_view_from_followers,integer,YES,0
facebook_page_insights,page_media_view_from_non_followers,integer,YES,0
facebook_page_insights,reactions_like_total,integer,YES,0
facebook_page_insights,reactions_love_total,integer,YES,0
facebook_page_insights,reactions_wow_total,integer,YES,0
facebook_page_insights,reactions_haha_total,integer,YES,0
facebook_page_insights,reactions_sorry_total,integer,YES,0
facebook_page_insights,reactions_anger_total,integer,YES,0
facebook_page_insights,reactions_like_week,integer,YES,0
facebook_page_insights,reactions_love_week,integer,YES,0
facebook_page_insights,reactions_wow_week,integer,YES,0
facebook_page_insights,reactions_haha_week,integer,YES,0
facebook_page_insights,reactions_sorry_week,integer,YES,0
facebook_page_insights,reactions_anger_week,integer,YES,0
facebook_page_insights,page_video_views,integer,YES,0
facebook_page_insights,page_video_views_week,integer,YES,0
facebook_page_insights,page_video_views_days_28,integer,YES,0
facebook_page_insights,raw_metrics,jsonb,YES,'{}'::jsonb
facebook_page_insights,metrics_fetched_at,timestamp with time zone,YES,now()
facebook_page_insights,created_at,timestamp with time zone,YES,now()
facebook_page_insights,updated_at,timestamp with time zone,YES,now()
facebook_post_insights,id,uuid,NO,uuid_generate_v4()
facebook_post_insights,business_asset_id,text,NO,
facebook_post_insights,platform_post_id,text,NO,
facebook_post_insights,completed_post_id,uuid,YES,
facebook_post_insights,post_media_view,integer,YES,0
facebook_post_insights,post_media_view_from_followers,integer,YES,0
facebook_post_insights,post_media_view_from_non_followers,integer,YES,0
